ProductAlternateKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,StandardCost,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,DealerPrice,ModelName,EnglishDescription
BK-M18S-42,LB ,CM ,"Mountain-500 Silver, 42",308.2179,Silver,100,75,564.99,42,42-46 CM,27.77,4,338.994,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18S-44,LB ,CM ,"Mountain-500 Silver, 44",308.2179,Silver,100,75,564.99,44,42-46 CM,28.13,4,338.994,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18S-48,LB ,CM ,"Mountain-500 Silver, 48",308.2179,Silver,100,75,564.99,48,48-52 CM,28.42,4,338.994,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18S-52,LB ,CM ,"Mountain-500 Silver, 52",308.2179,Silver,100,75,564.99,52,48-52 CM,28.68,4,338.994,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18B-40,LB ,CM ,"Mountain-500 Black, 40",294.5797,Black,100,75,539.99,40,38-40 CM,27.35,4,323.994,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18B-42,LB ,CM ,"Mountain-500 Black, 42",294.5797,Black,100,75,539.99,42,42-46 CM,27.77,4,323.994,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18B-44,LB ,CM ,"Mountain-500 Black, 44",294.5797,Black,100,75,539.99,44,42-46 CM,28.13,4,323.994,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18B-48,LB ,CM ,"Mountain-500 Black, 48",294.5797,Black,100,75,539.99,48,48-52 CM,28.42,4,323.994,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18B-52,LB ,CM ,"Mountain-500 Black, 52",294.5797,Black,100,75,539.99,52,48-52 CM,28.68,4,323.994,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-R19B-44,LB ,CM ,"Road-750 Black, 44",343.6496,Black,100,75,539.99,44,42-46 CM,19.77,4,323.994,Road-750,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.
BK-R19B-48,LB ,CM ,"Road-750 Black, 48",343.6496,Black,100,75,539.99,48,48-52 CM,20.13,4,323.994,Road-750,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.
BK-R19B-52,LB ,CM ,"Road-750 Black, 52",343.6496,Black,100,75,539.99,52,48-52 CM,20.42,4,323.994,Road-750,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.
