DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
20051123,2005-11-23,4,Wednesday,23,327,48,November,11,4,2005,2,2,2006,1
20051124,2005-11-24,5,Thursday,24,328,48,November,11,4,2005,2,2,2006,1
20051125,2005-11-25,6,Friday,25,329,48,November,11,4,2005,2,2,2006,1
20051126,2005-11-26,7,Saturday,26,330,48,November,11,4,2005,2,2,2006,1
20051127,2005-11-27,1,Sunday,27,331,49,November,11,4,2005,2,2,2006,1
20051128,2005-11-28,2,Monday,28,332,49,November,11,4,2005,2,2,2006,1
20051129,2005-11-29,3,Tuesday,29,333,49,November,11,4,2005,2,2,2006,1
20051130,2005-11-30,4,Wednesday,30,334,49,November,11,4,2005,2,2,2006,1
20051201,2005-12-01,5,Thursday,1,335,49,December,12,4,2005,2,2,2006,1
20051202,2005-12-02,6,Friday,2,336,49,December,12,4,2005,2,2,2006,1
20051203,2005-12-03,7,Saturday,3,337,49,December,12,4,2005,2,2,2006,1
20051204,2005-12-04,1,Sunday,4,338,50,December,12,4,2005,2,2,2006,1
20051205,2005-12-05,2,Monday,5,339,50,December,12,4,2005,2,2,2006,1
20051206,2005-12-06,3,Tuesday,6,340,50,December,12,4,2005,2,2,2006,1
20051207,2005-12-07,4,Wednesday,7,341,50,December,12,4,2005,2,2,2006,1
20051208,2005-12-08,5,Thursday,8,342,50,December,12,4,2005,2,2,2006,1
20051209,2005-12-09,6,Friday,9,343,50,December,12,4,2005,2,2,2006,1
20051210,2005-12-10,7,Saturday,10,344,50,December,12,4,2005,2,2,2006,1
20051211,2005-12-11,1,Sunday,11,345,51,December,12,4,2005,2,2,2006,1
20051212,2005-12-12,2,Monday,12,346,51,December,12,4,2005,2,2,2006,1
20051213,2005-12-13,3,Tuesday,13,347,51,December,12,4,2005,2,2,2006,1
20051214,2005-12-14,4,Wednesday,14,348,51,December,12,4,2005,2,2,2006,1
20051215,2005-12-15,5,Thursday,15,349,51,December,12,4,2005,2,2,2006,1
20051216,2005-12-16,6,Friday,16,350,51,December,12,4,2005,2,2,2006,1
20051217,2005-12-17,7,Saturday,17,351,51,December,12,4,2005,2,2,2006,1
20051218,2005-12-18,1,Sunday,18,352,52,December,12,4,2005,2,2,2006,1
20051219,2005-12-19,2,Monday,19,353,52,December,12,4,2005,2,2,2006,1
20051220,2005-12-20,3,Tuesday,20,354,52,December,12,4,2005,2,2,2006,1
20051221,2005-12-21,4,Wednesday,21,355,52,December,12,4,2005,2,2,2006,1
20051222,2005-12-22,5,Thursday,22,356,52,December,12,4,2005,2,2,2006,1
20051223,2005-12-23,6,Friday,23,357,52,December,12,4,2005,2,2,2006,1
20051224,2005-12-24,7,Saturday,24,358,52,December,12,4,2005,2,2,2006,1
20051225,2005-12-25,1,Sunday,25,359,53,December,12,4,2005,2,2,2006,1
20051226,2005-12-26,2,Monday,26,360,53,December,12,4,2005,2,2,2006,1
20051227,2005-12-27,3,Tuesday,27,361,53,December,12,4,2005,2,2,2006,1
20051228,2005-12-28,4,Wednesday,28,362,53,December,12,4,2005,2,2,2006,1
20051229,2005-12-29,5,Thursday,29,363,53,December,12,4,2005,2,2,2006,1
20051230,2005-12-30,6,Friday,30,364,53,December,12,4,2005,2,2,2006,1
20051231,2005-12-31,7,Saturday,31,365,53,December,12,4,2005,2,2,2006,1
20060101,2006-01-01,1,Sunday,1,1,1,January,1,1,2006,1,3,2006,2
20060102,2006-01-02,2,Monday,2,2,1,January,1,1,2006,1,3,2006,2
20060103,2006-01-03,3,Tuesday,3,3,1,January,1,1,2006,1,3,2006,2
20060104,2006-01-04,4,Wednesday,4,4,1,January,1,1,2006,1,3,2006,2
20060105,2006-01-05,5,Thursday,5,5,1,January,1,1,2006,1,3,2006,2
20060106,2006-01-06,6,Friday,6,6,1,January,1,1,2006,1,3,2006,2
20060107,2006-01-07,7,Saturday,7,7,1,January,1,1,2006,1,3,2006,2
20060108,2006-01-08,1,Sunday,8,8,2,January,1,1,2006,1,3,2006,2
20060109,2006-01-09,2,Monday,9,9,2,January,1,1,2006,1,3,2006,2
20060110,2006-01-10,3,Tuesday,10,10,2,January,1,1,2006,1,3,2006,2
20060111,2006-01-11,4,Wednesday,11,11,2,January,1,1,2006,1,3,2006,2
20060112,2006-01-12,5,Thursday,12,12,2,January,1,1,2006,1,3,2006,2
20060113,2006-01-13,6,Friday,13,13,2,January,1,1,2006,1,3,2006,2
20060114,2006-01-14,7,Saturday,14,14,2,January,1,1,2006,1,3,2006,2
20060115,2006-01-15,1,Sunday,15,15,3,January,1,1,2006,1,3,2006,2
20060116,2006-01-16,2,Monday,16,16,3,January,1,1,2006,1,3,2006,2
20060117,2006-01-17,3,Tuesday,17,17,3,January,1,1,2006,1,3,2006,2
20060118,2006-01-18,4,Wednesday,18,18,3,January,1,1,2006,1,3,2006,2
20060119,2006-01-19,5,Thursday,19,19,3,January,1,1,2006,1,3,2006,2
20060120,2006-01-20,6,Friday,20,20,3,January,1,1,2006,1,3,2006,2
20060121,2006-01-21,7,Saturday,21,21,3,January,1,1,2006,1,3,2006,2
20060122,2006-01-22,1,Sunday,22,22,4,January,1,1,2006,1,3,2006,2
20060123,2006-01-23,2,Monday,23,23,4,January,1,1,2006,1,3,2006,2
20060124,2006-01-24,3,Tuesday,24,24,4,January,1,1,2006,1,3,2006,2
20060125,2006-01-25,4,Wednesday,25,25,4,January,1,1,2006,1,3,2006,2
20060126,2006-01-26,5,Thursday,26,26,4,January,1,1,2006,1,3,2006,2
20060127,2006-01-27,6,Friday,27,27,4,January,1,1,2006,1,3,2006,2
20060128,2006-01-28,7,Saturday,28,28,4,January,1,1,2006,1,3,2006,2
20060129,2006-01-29,1,Sunday,29,29,5,January,1,1,2006,1,3,2006,2
20060130,2006-01-30,2,Monday,30,30,5,January,1,1,2006,1,3,2006,2
20060131,2006-01-31,3,Tuesday,31,31,5,January,1,1,2006,1,3,2006,2
20060201,2006-02-01,4,Wednesday,1,32,5,February,2,1,2006,1,3,2006,2
20060202,2006-02-02,5,Thursday,2,33,5,February,2,1,2006,1,3,2006,2
20060203,2006-02-03,6,Friday,3,34,5,February,2,1,2006,1,3,2006,2
20060204,2006-02-04,7,Saturday,4,35,5,February,2,1,2006,1,3,2006,2
20060205,2006-02-05,1,Sunday,5,36,6,February,2,1,2006,1,3,2006,2
20060206,2006-02-06,2,Monday,6,37,6,February,2,1,2006,1,3,2006,2
20060207,2006-02-07,3,Tuesday,7,38,6,February,2,1,2006,1,3,2006,2
20060208,2006-02-08,4,Wednesday,8,39,6,February,2,1,2006,1,3,2006,2
20060209,2006-02-09,5,Thursday,9,40,6,February,2,1,2006,1,3,2006,2
20060210,2006-02-10,6,Friday,10,41,6,February,2,1,2006,1,3,2006,2
20060211,2006-02-11,7,Saturday,11,42,6,February,2,1,2006,1,3,2006,2
20060212,2006-02-12,1,Sunday,12,43,7,February,2,1,2006,1,3,2006,2
20060213,2006-02-13,2,Monday,13,44,7,February,2,1,2006,1,3,2006,2
20060214,2006-02-14,3,Tuesday,14,45,7,February,2,1,2006,1,3,2006,2
20060215,2006-02-15,4,Wednesday,15,46,7,February,2,1,2006,1,3,2006,2
20060216,2006-02-16,5,Thursday,16,47,7,February,2,1,2006,1,3,2006,2
20060217,2006-02-17,6,Friday,17,48,7,February,2,1,2006,1,3,2006,2
20060218,2006-02-18,7,Saturday,18,49,7,February,2,1,2006,1,3,2006,2
20060219,2006-02-19,1,Sunday,19,50,8,February,2,1,2006,1,3,2006,2
20060220,2006-02-20,2,Monday,20,51,8,February,2,1,2006,1,3,2006,2
20060221,2006-02-21,3,Tuesday,21,52,8,February,2,1,2006,1,3,2006,2
20060222,2006-02-22,4,Wednesday,22,53,8,February,2,1,2006,1,3,2006,2
20060223,2006-02-23,5,Thursday,23,54,8,February,2,1,2006,1,3,2006,2
20060224,2006-02-24,6,Friday,24,55,8,February,2,1,2006,1,3,2006,2
20060225,2006-02-25,7,Saturday,25,56,8,February,2,1,2006,1,3,2006,2
20060226,2006-02-26,1,Sunday,26,57,9,February,2,1,2006,1,3,2006,2
20060227,2006-02-27,2,Monday,27,58,9,February,2,1,2006,1,3,2006,2
20060228,2006-02-28,3,Tuesday,28,59,9,February,2,1,2006,1,3,2006,2
20060301,2006-03-01,4,Wednesday,1,60,9,March,3,1,2006,1,3,2006,2
20060302,2006-03-02,5,Thursday,2,61,9,March,3,1,2006,1,3,2006,2
20060303,2006-03-03,6,Friday,3,62,9,March,3,1,2006,1,3,2006,2
20060304,2006-03-04,7,Saturday,4,63,9,March,3,1,2006,1,3,2006,2
20060305,2006-03-05,1,Sunday,5,64,10,March,3,1,2006,1,3,2006,2
20060306,2006-03-06,2,Monday,6,65,10,March,3,1,2006,1,3,2006,2
20060307,2006-03-07,3,Tuesday,7,66,10,March,3,1,2006,1,3,2006,2
20060308,2006-03-08,4,Wednesday,8,67,10,March,3,1,2006,1,3,2006,2
20060309,2006-03-09,5,Thursday,9,68,10,March,3,1,2006,1,3,2006,2
20060310,2006-03-10,6,Friday,10,69,10,March,3,1,2006,1,3,2006,2
20060311,2006-03-11,7,Saturday,11,70,10,March,3,1,2006,1,3,2006,2
20060312,2006-03-12,1,Sunday,12,71,11,March,3,1,2006,1,3,2006,2
20060313,2006-03-13,2,Monday,13,72,11,March,3,1,2006,1,3,2006,2
20060314,2006-03-14,3,Tuesday,14,73,11,March,3,1,2006,1,3,2006,2
20060315,2006-03-15,4,Wednesday,15,74,11,March,3,1,2006,1,3,2006,2
20060316,2006-03-16,5,Thursday,16,75,11,March,3,1,2006,1,3,2006,2
20060317,2006-03-17,6,Friday,17,76,11,March,3,1,2006,1,3,2006,2
20060318,2006-03-18,7,Saturday,18,77,11,March,3,1,2006,1,3,2006,2
20060319,2006-03-19,1,Sunday,19,78,12,March,3,1,2006,1,3,2006,2
20060320,2006-03-20,2,Monday,20,79,12,March,3,1,2006,1,3,2006,2
20060321,2006-03-21,3,Tuesday,21,80,12,March,3,1,2006,1,3,2006,2
20060322,2006-03-22,4,Wednesday,22,81,12,March,3,1,2006,1,3,2006,2
20060323,2006-03-23,5,Thursday,23,82,12,March,3,1,2006,1,3,2006,2
20060324,2006-03-24,6,Friday,24,83,12,March,3,1,2006,1,3,2006,2
20060325,2006-03-25,7,Saturday,25,84,12,March,3,1,2006,1,3,2006,2
20060326,2006-03-26,1,Sunday,26,85,13,March,3,1,2006,1,3,2006,2
20060327,2006-03-27,2,Monday,27,86,13,March,3,1,2006,1,3,2006,2
20060328,2006-03-28,3,Tuesday,28,87,13,March,3,1,2006,1,3,2006,2
20060329,2006-03-29,4,Wednesday,29,88,13,March,3,1,2006,1,3,2006,2
20060330,2006-03-30,5,Thursday,30,89,13,March,3,1,2006,1,3,2006,2
20060331,2006-03-31,6,Friday,31,90,13,March,3,1,2006,1,3,2006,2
20060401,2006-04-01,7,Saturday,1,91,13,April,4,2,2006,1,4,2006,2
20060402,2006-04-02,1,Sunday,2,92,14,April,4,2,2006,1,4,2006,2
20060403,2006-04-03,2,Monday,3,93,14,April,4,2,2006,1,4,2006,2
20060404,2006-04-04,3,Tuesday,4,94,14,April,4,2,2006,1,4,2006,2
20060405,2006-04-05,4,Wednesday,5,95,14,April,4,2,2006,1,4,2006,2
20060406,2006-04-06,5,Thursday,6,96,14,April,4,2,2006,1,4,2006,2
20060407,2006-04-07,6,Friday,7,97,14,April,4,2,2006,1,4,2006,2
20060408,2006-04-08,7,Saturday,8,98,14,April,4,2,2006,1,4,2006,2
20060409,2006-04-09,1,Sunday,9,99,15,April,4,2,2006,1,4,2006,2
20060410,2006-04-10,2,Monday,10,100,15,April,4,2,2006,1,4,2006,2
20060411,2006-04-11,3,Tuesday,11,101,15,April,4,2,2006,1,4,2006,2
20060412,2006-04-12,4,Wednesday,12,102,15,April,4,2,2006,1,4,2006,2
20060413,2006-04-13,5,Thursday,13,103,15,April,4,2,2006,1,4,2006,2
20060414,2006-04-14,6,Friday,14,104,15,April,4,2,2006,1,4,2006,2
20060415,2006-04-15,7,Saturday,15,105,15,April,4,2,2006,1,4,2006,2
20060416,2006-04-16,1,Sunday,16,106,16,April,4,2,2006,1,4,2006,2
20060417,2006-04-17,2,Monday,17,107,16,April,4,2,2006,1,4,2006,2
20060418,2006-04-18,3,Tuesday,18,108,16,April,4,2,2006,1,4,2006,2
20060419,2006-04-19,4,Wednesday,19,109,16,April,4,2,2006,1,4,2006,2
20060420,2006-04-20,5,Thursday,20,110,16,April,4,2,2006,1,4,2006,2
20060421,2006-04-21,6,Friday,21,111,16,April,4,2,2006,1,4,2006,2
20060422,2006-04-22,7,Saturday,22,112,16,April,4,2,2006,1,4,2006,2
20060423,2006-04-23,1,Sunday,23,113,17,April,4,2,2006,1,4,2006,2
20060424,2006-04-24,2,Monday,24,114,17,April,4,2,2006,1,4,2006,2
20060425,2006-04-25,3,Tuesday,25,115,17,April,4,2,2006,1,4,2006,2
20060426,2006-04-26,4,Wednesday,26,116,17,April,4,2,2006,1,4,2006,2
20060427,2006-04-27,5,Thursday,27,117,17,April,4,2,2006,1,4,2006,2
20060428,2006-04-28,6,Friday,28,118,17,April,4,2,2006,1,4,2006,2
20060429,2006-04-29,7,Saturday,29,119,17,April,4,2,2006,1,4,2006,2
20060430,2006-04-30,1,Sunday,30,120,18,April,4,2,2006,1,4,2006,2
20060501,2006-05-01,2,Monday,1,121,18,May,5,2,2006,1,4,2006,2
20060502,2006-05-02,3,Tuesday,2,122,18,May,5,2,2006,1,4,2006,2
20060503,2006-05-03,4,Wednesday,3,123,18,May,5,2,2006,1,4,2006,2
20060504,2006-05-04,5,Thursday,4,124,18,May,5,2,2006,1,4,2006,2
20060505,2006-05-05,6,Friday,5,125,18,May,5,2,2006,1,4,2006,2
20060506,2006-05-06,7,Saturday,6,126,18,May,5,2,2006,1,4,2006,2
20060507,2006-05-07,1,Sunday,7,127,19,May,5,2,2006,1,4,2006,2
20060508,2006-05-08,2,Monday,8,128,19,May,5,2,2006,1,4,2006,2
20060509,2006-05-09,3,Tuesday,9,129,19,May,5,2,2006,1,4,2006,2
20060510,2006-05-10,4,Wednesday,10,130,19,May,5,2,2006,1,4,2006,2
20060511,2006-05-11,5,Thursday,11,131,19,May,5,2,2006,1,4,2006,2
20060512,2006-05-12,6,Friday,12,132,19,May,5,2,2006,1,4,2006,2
20060513,2006-05-13,7,Saturday,13,133,19,May,5,2,2006,1,4,2006,2
20060514,2006-05-14,1,Sunday,14,134,20,May,5,2,2006,1,4,2006,2
20060515,2006-05-15,2,Monday,15,135,20,May,5,2,2006,1,4,2006,2
20060516,2006-05-16,3,Tuesday,16,136,20,May,5,2,2006,1,4,2006,2
20060517,2006-05-17,4,Wednesday,17,137,20,May,5,2,2006,1,4,2006,2
20060518,2006-05-18,5,Thursday,18,138,20,May,5,2,2006,1,4,2006,2
20060519,2006-05-19,6,Friday,19,139,20,May,5,2,2006,1,4,2006,2
20060520,2006-05-20,7,Saturday,20,140,20,May,5,2,2006,1,4,2006,2
20060521,2006-05-21,1,Sunday,21,141,21,May,5,2,2006,1,4,2006,2
20060522,2006-05-22,2,Monday,22,142,21,May,5,2,2006,1,4,2006,2
20060523,2006-05-23,3,Tuesday,23,143,21,May,5,2,2006,1,4,2006,2
20060524,2006-05-24,4,Wednesday,24,144,21,May,5,2,2006,1,4,2006,2
20060525,2006-05-25,5,Thursday,25,145,21,May,5,2,2006,1,4,2006,2
20060526,2006-05-26,6,Friday,26,146,21,May,5,2,2006,1,4,2006,2
20060527,2006-05-27,7,Saturday,27,147,21,May,5,2,2006,1,4,2006,2
20060528,2006-05-28,1,Sunday,28,148,22,May,5,2,2006,1,4,2006,2
20060529,2006-05-29,2,Monday,29,149,22,May,5,2,2006,1,4,2006,2
20060530,2006-05-30,3,Tuesday,30,150,22,May,5,2,2006,1,4,2006,2
20060531,2006-05-31,4,Wednesday,31,151,22,May,5,2,2006,1,4,2006,2
20060601,2006-06-01,5,Thursday,1,152,22,June,6,2,2006,1,4,2006,2
20060602,2006-06-02,6,Friday,2,153,22,June,6,2,2006,1,4,2006,2
20060603,2006-06-03,7,Saturday,3,154,22,June,6,2,2006,1,4,2006,2
20060604,2006-06-04,1,Sunday,4,155,23,June,6,2,2006,1,4,2006,2
20060605,2006-06-05,2,Monday,5,156,23,June,6,2,2006,1,4,2006,2
20060606,2006-06-06,3,Tuesday,6,157,23,June,6,2,2006,1,4,2006,2
20060607,2006-06-07,4,Wednesday,7,158,23,June,6,2,2006,1,4,2006,2
20060608,2006-06-08,5,Thursday,8,159,23,June,6,2,2006,1,4,2006,2
20060609,2006-06-09,6,Friday,9,160,23,June,6,2,2006,1,4,2006,2
20060610,2006-06-10,7,Saturday,10,161,23,June,6,2,2006,1,4,2006,2
20060611,2006-06-11,1,Sunday,11,162,24,June,6,2,2006,1,4,2006,2
20060612,2006-06-12,2,Monday,12,163,24,June,6,2,2006,1,4,2006,2
20060613,2006-06-13,3,Tuesday,13,164,24,June,6,2,2006,1,4,2006,2
20060614,2006-06-14,4,Wednesday,14,165,24,June,6,2,2006,1,4,2006,2
20060615,2006-06-15,5,Thursday,15,166,24,June,6,2,2006,1,4,2006,2
20060616,2006-06-16,6,Friday,16,167,24,June,6,2,2006,1,4,2006,2
20060617,2006-06-17,7,Saturday,17,168,24,June,6,2,2006,1,4,2006,2
20060618,2006-06-18,1,Sunday,18,169,25,June,6,2,2006,1,4,2006,2
20060619,2006-06-19,2,Monday,19,170,25,June,6,2,2006,1,4,2006,2
20060620,2006-06-20,3,Tuesday,20,171,25,June,6,2,2006,1,4,2006,2
20060621,2006-06-21,4,Wednesday,21,172,25,June,6,2,2006,1,4,2006,2
20060622,2006-06-22,5,Thursday,22,173,25,June,6,2,2006,1,4,2006,2
20060623,2006-06-23,6,Friday,23,174,25,June,6,2,2006,1,4,2006,2
20060624,2006-06-24,7,Saturday,24,175,25,June,6,2,2006,1,4,2006,2
20060625,2006-06-25,1,Sunday,25,176,26,June,6,2,2006,1,4,2006,2
20060626,2006-06-26,2,Monday,26,177,26,June,6,2,2006,1,4,2006,2
20060627,2006-06-27,3,Tuesday,27,178,26,June,6,2,2006,1,4,2006,2
20060628,2006-06-28,4,Wednesday,28,179,26,June,6,2,2006,1,4,2006,2
20060629,2006-06-29,5,Thursday,29,180,26,June,6,2,2006,1,4,2006,2
20060630,2006-06-30,6,Friday,30,181,26,June,6,2,2006,1,4,2006,2
20060701,2006-07-01,7,Saturday,1,182,26,July,7,3,2006,2,1,2007,1
20060702,2006-07-02,1,Sunday,2,183,27,July,7,3,2006,2,1,2007,1
20060703,2006-07-03,2,Monday,3,184,27,July,7,3,2006,2,1,2007,1
20060704,2006-07-04,3,Tuesday,4,185,27,July,7,3,2006,2,1,2007,1
20060705,2006-07-05,4,Wednesday,5,186,27,July,7,3,2006,2,1,2007,1
20060706,2006-07-06,5,Thursday,6,187,27,July,7,3,2006,2,1,2007,1
20060707,2006-07-07,6,Friday,7,188,27,July,7,3,2006,2,1,2007,1
20060708,2006-07-08,7,Saturday,8,189,27,July,7,3,2006,2,1,2007,1
20060709,2006-07-09,1,Sunday,9,190,28,July,7,3,2006,2,1,2007,1
20060710,2006-07-10,2,Monday,10,191,28,July,7,3,2006,2,1,2007,1
20060711,2006-07-11,3,Tuesday,11,192,28,July,7,3,2006,2,1,2007,1
20060712,2006-07-12,4,Wednesday,12,193,28,July,7,3,2006,2,1,2007,1
20060713,2006-07-13,5,Thursday,13,194,28,July,7,3,2006,2,1,2007,1
20060714,2006-07-14,6,Friday,14,195,28,July,7,3,2006,2,1,2007,1
20060715,2006-07-15,7,Saturday,15,196,28,July,7,3,2006,2,1,2007,1
20060716,2006-07-16,1,Sunday,16,197,29,July,7,3,2006,2,1,2007,1
20060717,2006-07-17,2,Monday,17,198,29,July,7,3,2006,2,1,2007,1
20060718,2006-07-18,3,Tuesday,18,199,29,July,7,3,2006,2,1,2007,1
20060719,2006-07-19,4,Wednesday,19,200,29,July,7,3,2006,2,1,2007,1
20060720,2006-07-20,5,Thursday,20,201,29,July,7,3,2006,2,1,2007,1
20060721,2006-07-21,6,Friday,21,202,29,July,7,3,2006,2,1,2007,1
20060722,2006-07-22,7,Saturday,22,203,29,July,7,3,2006,2,1,2007,1
20060723,2006-07-23,1,Sunday,23,204,30,July,7,3,2006,2,1,2007,1
20060724,2006-07-24,2,Monday,24,205,30,July,7,3,2006,2,1,2007,1
20060725,2006-07-25,3,Tuesday,25,206,30,July,7,3,2006,2,1,2007,1
20060726,2006-07-26,4,Wednesday,26,207,30,July,7,3,2006,2,1,2007,1
20060727,2006-07-27,5,Thursday,27,208,30,July,7,3,2006,2,1,2007,1
20060728,2006-07-28,6,Friday,28,209,30,July,7,3,2006,2,1,2007,1
20060729,2006-07-29,7,Saturday,29,210,30,July,7,3,2006,2,1,2007,1
20060730,2006-07-30,1,Sunday,30,211,31,July,7,3,2006,2,1,2007,1
20060731,2006-07-31,2,Monday,31,212,31,July,7,3,2006,2,1,2007,1
20060801,2006-08-01,3,Tuesday,1,213,31,August,8,3,2006,2,1,2007,1
20060802,2006-08-02,4,Wednesday,2,214,31,August,8,3,2006,2,1,2007,1
20060803,2006-08-03,5,Thursday,3,215,31,August,8,3,2006,2,1,2007,1
20060804,2006-08-04,6,Friday,4,216,31,August,8,3,2006,2,1,2007,1
20060805,2006-08-05,7,Saturday,5,217,31,August,8,3,2006,2,1,2007,1
20060806,2006-08-06,1,Sunday,6,218,32,August,8,3,2006,2,1,2007,1
20060807,2006-08-07,2,Monday,7,219,32,August,8,3,2006,2,1,2007,1
20060808,2006-08-08,3,Tuesday,8,220,32,August,8,3,2006,2,1,2007,1
20060809,2006-08-09,4,Wednesday,9,221,32,August,8,3,2006,2,1,2007,1
20060810,2006-08-10,5,Thursday,10,222,32,August,8,3,2006,2,1,2007,1
20060811,2006-08-11,6,Friday,11,223,32,August,8,3,2006,2,1,2007,1
20060812,2006-08-12,7,Saturday,12,224,32,August,8,3,2006,2,1,2007,1
20060813,2006-08-13,1,Sunday,13,225,33,August,8,3,2006,2,1,2007,1
20060814,2006-08-14,2,Monday,14,226,33,August,8,3,2006,2,1,2007,1
20060815,2006-08-15,3,Tuesday,15,227,33,August,8,3,2006,2,1,2007,1
20060816,2006-08-16,4,Wednesday,16,228,33,August,8,3,2006,2,1,2007,1
20060817,2006-08-17,5,Thursday,17,229,33,August,8,3,2006,2,1,2007,1
20060818,2006-08-18,6,Friday,18,230,33,August,8,3,2006,2,1,2007,1
20060819,2006-08-19,7,Saturday,19,231,33,August,8,3,2006,2,1,2007,1
20060820,2006-08-20,1,Sunday,20,232,34,August,8,3,2006,2,1,2007,1
20060821,2006-08-21,2,Monday,21,233,34,August,8,3,2006,2,1,2007,1
20060822,2006-08-22,3,Tuesday,22,234,34,August,8,3,2006,2,1,2007,1
20060823,2006-08-23,4,Wednesday,23,235,34,August,8,3,2006,2,1,2007,1
20060824,2006-08-24,5,Thursday,24,236,34,August,8,3,2006,2,1,2007,1
20060825,2006-08-25,6,Friday,25,237,34,August,8,3,2006,2,1,2007,1
20060826,2006-08-26,7,Saturday,26,238,34,August,8,3,2006,2,1,2007,1
20060827,2006-08-27,1,Sunday,27,239,35,August,8,3,2006,2,1,2007,1
20060828,2006-08-28,2,Monday,28,240,35,August,8,3,2006,2,1,2007,1
20060829,2006-08-29,3,Tuesday,29,241,35,August,8,3,2006,2,1,2007,1
20060830,2006-08-30,4,Wednesday,30,242,35,August,8,3,2006,2,1,2007,1
20060831,2006-08-31,5,Thursday,31,243,35,August,8,3,2006,2,1,2007,1
20060901,2006-09-01,6,Friday,1,244,35,September,9,3,2006,2,1,2007,1
20060902,2006-09-02,7,Saturday,2,245,35,September,9,3,2006,2,1,2007,1
20060903,2006-09-03,1,Sunday,3,246,36,September,9,3,2006,2,1,2007,1
20060904,2006-09-04,2,Monday,4,247,36,September,9,3,2006,2,1,2007,1
20060905,2006-09-05,3,Tuesday,5,248,36,September,9,3,2006,2,1,2007,1
20060906,2006-09-06,4,Wednesday,6,249,36,September,9,3,2006,2,1,2007,1
20060907,2006-09-07,5,Thursday,7,250,36,September,9,3,2006,2,1,2007,1
20060908,2006-09-08,6,Friday,8,251,36,September,9,3,2006,2,1,2007,1
20060909,2006-09-09,7,Saturday,9,252,36,September,9,3,2006,2,1,2007,1
20060910,2006-09-10,1,Sunday,10,253,37,September,9,3,2006,2,1,2007,1
20060911,2006-09-11,2,Monday,11,254,37,September,9,3,2006,2,1,2007,1
20060912,2006-09-12,3,Tuesday,12,255,37,September,9,3,2006,2,1,2007,1
20060913,2006-09-13,4,Wednesday,13,256,37,September,9,3,2006,2,1,2007,1
20060914,2006-09-14,5,Thursday,14,257,37,September,9,3,2006,2,1,2007,1
20060915,2006-09-15,6,Friday,15,258,37,September,9,3,2006,2,1,2007,1
20060916,2006-09-16,7,Saturday,16,259,37,September,9,3,2006,2,1,2007,1
20060917,2006-09-17,1,Sunday,17,260,38,September,9,3,2006,2,1,2007,1
20060918,2006-09-18,2,Monday,18,261,38,September,9,3,2006,2,1,2007,1
20060919,2006-09-19,3,Tuesday,19,262,38,September,9,3,2006,2,1,2007,1
20060920,2006-09-20,4,Wednesday,20,263,38,September,9,3,2006,2,1,2007,1
20060921,2006-09-21,5,Thursday,21,264,38,September,9,3,2006,2,1,2007,1
20060922,2006-09-22,6,Friday,22,265,38,September,9,3,2006,2,1,2007,1
20060923,2006-09-23,7,Saturday,23,266,38,September,9,3,2006,2,1,2007,1
20060924,2006-09-24,1,Sunday,24,267,39,September,9,3,2006,2,1,2007,1
20060925,2006-09-25,2,Monday,25,268,39,September,9,3,2006,2,1,2007,1
20060926,2006-09-26,3,Tuesday,26,269,39,September,9,3,2006,2,1,2007,1
20060927,2006-09-27,4,Wednesday,27,270,39,September,9,3,2006,2,1,2007,1
20060928,2006-09-28,5,Thursday,28,271,39,September,9,3,2006,2,1,2007,1
20060929,2006-09-29,6,Friday,29,272,39,September,9,3,2006,2,1,2007,1
20060930,2006-09-30,7,Saturday,30,273,39,September,9,3,2006,2,1,2007,1
20061001,2006-10-01,1,Sunday,1,274,40,October,10,4,2006,2,2,2007,1
20061002,2006-10-02,2,Monday,2,275,40,October,10,4,2006,2,2,2007,1
20061003,2006-10-03,3,Tuesday,3,276,40,October,10,4,2006,2,2,2007,1
20061004,2006-10-04,4,Wednesday,4,277,40,October,10,4,2006,2,2,2007,1
20061005,2006-10-05,5,Thursday,5,278,40,October,10,4,2006,2,2,2007,1
20061006,2006-10-06,6,Friday,6,279,40,October,10,4,2006,2,2,2007,1
20061007,2006-10-07,7,Saturday,7,280,40,October,10,4,2006,2,2,2007,1
20061008,2006-10-08,1,Sunday,8,281,41,October,10,4,2006,2,2,2007,1
20061009,2006-10-09,2,Monday,9,282,41,October,10,4,2006,2,2,2007,1
20061010,2006-10-10,3,Tuesday,10,283,41,October,10,4,2006,2,2,2007,1
20061011,2006-10-11,4,Wednesday,11,284,41,October,10,4,2006,2,2,2007,1
20061012,2006-10-12,5,Thursday,12,285,41,October,10,4,2006,2,2,2007,1
20061013,2006-10-13,6,Friday,13,286,41,October,10,4,2006,2,2,2007,1
20061014,2006-10-14,7,Saturday,14,287,41,October,10,4,2006,2,2,2007,1
20061015,2006-10-15,1,Sunday,15,288,42,October,10,4,2006,2,2,2007,1
20061016,2006-10-16,2,Monday,16,289,42,October,10,4,2006,2,2,2007,1
20061017,2006-10-17,3,Tuesday,17,290,42,October,10,4,2006,2,2,2007,1
